edad,raza,sexo,estado_reproductivo,peso,tamano_corporal,motivo_consulta,antecedentes_medicos_previos,masa_tumoral_previa,tiempo_evolucion_lesion,tratamientos_previos,numero_lesiones,ubicacion_anatomica_tumor,tamano_lesion,forma_tumor,consistencia,movilidad,bordes,velocidad_crecimiento,ulceracion,invasion_tejidos_cercanos,tipo_estudio_diagnostico,citologia_realizada,biopsia_realizada,histopatologia_realizada,diagnostico_citologico,diagnostico_histopatologico,tipo_tumor,grado_tumoral,indice_mitotico,pleomorfismo_celular,necrosis_tumoral,metastasis,compromiso_ganglionar,recurrencia_tumoral,progresion_enfermedad,pronostico_clinico,tipo_tratamiento,respuesta_tratamiento,seguimiento_clinico,cancer_confirmado
1.0,Beagle,M,entero,38.1,grande,chequeo general,dermatitis,False,11.0,ninguno,3,bazo,1.18,lobulada,dura,movil,irregulares,moderado,True,True,citologia,False,False,True,maligno,no realizado,sarcoma,bajo,1.7,leve,True,True,False,False,progresiva,desfavorable,quimioterapia,sin tratamiento,6 meses,1
6.8,Boxer,F,esterilizado,30.3,pequeno,masa palpable,dermatitis,False,1.0,antiinflamatorios,1,tejido subcutaneo,8.23,difusa,dura,fija,irregulares,lento,False,False,examen clinico,False,False,False,sospechoso,no realizado,lipoma,bajo,16.0,no aplica,True,False,False,False,regresiva,desfavorable,paliativo,buena,6 meses,1
8.2,Beagle,F,entero,38.2,grande,sangrado local,ninguno,True,13.1,cirugia previa,2,mama,0.95,difusa,firme,movil,irregulares,moderado,True,False,imagen,True,True,True,no concluyente,benigno,lipoma,no aplica,5.7,no aplica,False,True,False,True,regresiva,favorable,observacion,parcial,3 meses,0
13.7,Pastor Alemán,F,esterilizado,33.1,pequeno,masa palpable,dermatitis,True,5.1,antibioticos,2,extremidad,3.55,nodular,blanda,movil,irregulares,lento,False,False,imagen,True,False,True,no concluyente,maligno,lipoma,intermedio,12.9,leve,False,True,False,False,estable,reservado,cirugia+quimio,buena,12 meses,1
14.9,Boxer,M,entero,33.7,pequeno,masa palpable,obesidad,False,8.6,antibioticos,2,tejido subcutaneo,3.94,irregular,firme,semi-fija,irregulares,moderado,False,True,imagen,True,False,False,maligno,maligno,mastocitoma,intermedio,11.2,severo,False,False,True,False,estable,desfavorable,paliativo,parcial,1 mes,1
11.1,Boxer,F,esterilizado,36.9,grande,masa palpable,ninguno,False,0.9,ninguno,1,cavidad oral,6.83,irregular,firme,fija,irregulares,lento,False,False,biopsia,True,True,True,no concluyente,benigno,linfoma,intermedio,13.4,no aplica,True,False,False,False,regresiva,favorable,cirugia+quimio,,12 meses,0
4.8,Mestizo,F,entero,41.3,grande,perdida de apetito,endocrinopatia,False,8.5,antiinflamatorios,1,tejido subcutaneo,1.84,nodular,blanda,movil,infiltrativos,rapido,True,True,biopsia,True,True,False,maligno,benigno,carcinoma,no aplica,12.8,moderado,True,False,False,False,regresiva,desfavorable,quimioterapia,mala,6 meses,1
12.8,Golden Retriever,F,esterilizado,6.9,pequeno,cojera,cirugia previa,True,4.3,cirugia previa,2,bazo,0.38,lobulada,firme,movil,infiltrativos,rapido,False,False,examen clinico,True,True,False,benigno,no realizado,carcinoma,alto,,severo,False,False,False,False,regresiva,favorable,quimioterapia,,1 mes,1
11.1,Boxer,M,esterilizado,38.1,pequeno,sangrado local,obesidad,False,13.2,antiinflamatorios,1,tejido subcutaneo,6.54,nodular,blanda,movil,definidos,lento,False,False,citologia,False,True,True,no concluyente,no realizado,carcinoma,bajo,7.0,leve,False,False,False,False,regresiva,favorable,observacion,parcial,1 mes,1
6.7,Boxer,M,esterilizado,9.6,pequeno,cojera,obesidad,False,11.9,antibioticos,3,mama,2.89,lobulada,blanda,fija,infiltrativos,lento,True,True,imagen,True,False,True,maligno,,lipoma,intermedio,2.9,moderado,False,False,True,False,regresiva,favorable,paliativo,mala,1 mes,1
6.0,Golden Retriever,M,entero,15.0,pequeno,cojera,cirugia previa,False,4.7,antibioticos,3,extremidad,1.63,lobulada,firme,semi-fija,definidos,lento,False,False,imagen,True,True,False,maligno,no realizado,lipoma,no aplica,6.5,severo,False,True,False,True,progresiva,favorable,paliativo,buena,6 meses,0
10.5,Boxer,F,entero,41.1,grande,perdida de apetito,endocrinopatia,False,7.6,antiinflamatorios,1,tejido subcutaneo,2.24,lobulada,blanda,semi-fija,infiltrativos,rapido,True,False,examen clinico,True,False,False,sospechoso,maligno,lipoma,intermedio,3.2,moderado,False,False,False,False,progresiva,favorable,observacion,parcial,6 meses,1
14.8,Labrador,M,esterilizado,7.3,grande,perdida de apetito,cirugia previa,False,8.1,cirugia previa,3,tejido subcutaneo,3.48,nodular,dura,semi-fija,irregulares,lento,False,False,biopsia,True,True,False,sospechoso,no realizado,mastocitoma,intermedio,1.4,severo,True,False,False,False,estable,desfavorable,cirugia,mala,6 meses,0
13.5,Labrador,M,entero,8.4,grande,cojera,dermatitis,False,0.7,antiinflamatorios,1,mama,2.55,irregular,dura,semi-fija,infiltrativos,rapido,False,False,biopsia,False,True,False,no concluyente,no realizado,mastocitoma,intermedio,14.9,moderado,False,False,True,False,progresiva,favorable,quimioterapia,mala,1 mes,1
8.6,French Bulldog,M,entero,10.5,grande,sangrado local,ninguno,False,7.5,ninguno,1,tejido subcutaneo,6.04,nodular,dura,fija,irregulares,rapido,False,False,imagen,True,False,False,no concluyente,inflamatorio,linfoma,bajo,7.7,severo,False,False,False,False,regresiva,reservado,quimioterapia,,1 mes,0
10.8,Beagle,F,esterilizado,18.2,pequeno,chequeo general,endocrinopatia,True,12.0,cirugia previa,2,cavidad oral,5.62,difusa,blanda,semi-fija,infiltrativos,rapido,False,False,imagen,True,True,True,no concluyente,maligno,sarcoma,bajo,13.5,no aplica,False,False,True,False,progresiva,desfavorable,paliativo,sin tratamiento,3 meses,1
10.0,Labrador,M,esterilizado,12.3,pequeno,sangrado local,ninguno,False,13.0,cirugia previa,2,bazo,4.83,nodular,blanda,fija,irregulares,moderado,True,False,biopsia,True,False,False,sospechoso,,sarcoma,bajo,6.5,leve,False,True,False,False,regresiva,reservado,cirugia+quimio,buena,1 mes,1
14.7,Pastor Alemán,F,esterilizado,12.5,pequeno,chequeo general,obesidad,False,3.8,cirugia previa,2,piel,5.16,lobulada,firme,movil,infiltrativos,moderado,False,False,biopsia,True,False,False,sospechoso,inflamatorio,lipoma,,16.1,leve,False,False,False,False,estable,desfavorable,cirugia,parcial,12 meses,0
2.4,Beagle,F,entero,26.3,pequeno,chequeo general,cirugia previa,False,12.5,antibioticos,1,bazo,6.24,irregular,firme,fija,definidos,lento,False,False,citologia,True,False,False,maligno,maligno,adenoma,bajo,16.6,no aplica,False,False,False,True,progresiva,reservado,paliativo,parcial,12 meses,0
12.5,Mestizo,F,esterilizado,12.3,grande,cojera,ninguno,False,6.0,ninguno,2,cavidad oral,3.73,irregular,firme,movil,infiltrativos,rapido,False,False,examen clinico,True,True,True,maligno,inflamatorio,mastocitoma,alto,4.3,no aplica,False,False,True,False,progresiva,desfavorable,quimioterapia,parcial,12 meses,1
2.5,Pastor Alemán,M,esterilizado,39.0,pequeno,cojera,dermatitis,False,0.3,cirugia previa,2,mama,8.96,lobulada,firme,semi-fija,irregulares,rapido,False,True,examen clinico,True,True,False,no concluyente,benigno,lipoma,alto,4.7,severo,False,False,False,True,estable,reservado,paliativo,buena,3 meses,0
7.7,Labrador,F,esterilizado,22.5,pequeno,cojera,cirugia previa,False,8.6,cirugia previa,1,piel,1.71,irregular,firme,semi-fija,infiltrativos,moderado,False,False,imagen,True,True,False,maligno,,lipoma,intermedio,3.3,leve,True,False,False,False,regresiva,favorable,cirugia,,12 meses,1
7.0,Boxer,M,entero,14.0,pequeno,masa palpable,obesidad,True,3.6,antibioticos,2,bazo,1.4,irregular,blanda,movil,infiltrativos,moderado,False,False,imagen,True,False,False,no concluyente,maligno,sarcoma,intermedio,10.6,no aplica,False,False,False,False,regresiva,desfavorable,quimioterapia,parcial,12 meses,1
5.6,Labrador,M,esterilizado,15.0,grande,masa palpable,obesidad,False,6.8,ninguno,2,cavidad oral,5.49,nodular,dura,semi-fija,definidos,moderado,False,False,citologia,True,False,True,no concluyente,,carcinoma,bajo,7.6,moderado,False,False,False,False,progresiva,reservado,paliativo,parcial,12 meses,1
7.8,Beagle,F,entero,16.5,pequeno,masa palpable,endocrinopatia,True,13.6,antibioticos,1,mama,6.52,nodular,blanda,movil,definidos,lento,False,False,biopsia,False,True,True,benigno,inflamatorio,adenoma,intermedio,,no aplica,True,False,True,False,progresiva,favorable,observacion,buena,12 meses,0
12.6,Mestizo,M,esterilizado,19.3,mediano,perdida de apetito,dermatitis,False,0.8,ninguno,1,tejido subcutaneo,5.86,irregular,firme,movil,infiltrativos,lento,False,False,imagen,True,True,True,benigno,no realizado,mastocitoma,bajo,17.4,no aplica,False,True,False,False,progresiva,favorable,paliativo,parcial,1 mes,1
4.5,Mestizo,F,esterilizado,33.8,pequeno,chequeo general,cirugia previa,False,3.7,ninguno,2,bazo,4.11,lobulada,dura,fija,irregulares,lento,False,False,biopsia,False,True,False,sospechoso,,linfoma,intermedio,8.1,severo,False,False,False,False,regresiva,favorable,observacion,parcial,3 meses,1
11.2,Boxer,M,esterilizado,16.5,grande,perdida de apetito,ninguno,True,9.3,ninguno,1,mama,7.9,irregular,blanda,semi-fija,definidos,lento,True,False,imagen,True,True,False,maligno,benigno,carcinoma,,10.9,leve,True,False,False,False,estable,reservado,observacion,parcial,12 meses,1
12.0,Boxer,F,entero,42.7,grande,masa palpable,ninguno,False,7.5,antiinflamatorios,1,extremidad,6.01,irregular,dura,fija,infiltrativos,moderado,False,False,biopsia,True,False,True,benigno,maligno,mastocitoma,no aplica,9.1,moderado,False,False,False,False,regresiva,reservado,quimioterapia,mala,12 meses,1
9.3,Beagle,F,esterilizado,43.4,mediano,chequeo general,ninguno,False,13.8,ninguno,2,mama,8.94,lobulada,blanda,semi-fija,definidos,lento,False,True,biopsia,False,True,False,sospechoso,benigno,adenoma,no aplica,6.4,moderado,True,False,False,False,progresiva,favorable,paliativo,mala,3 meses,0
11.3,Mestizo,M,esterilizado,4.6,grande,chequeo general,ninguno,False,12.9,antibioticos,1,tejido subcutaneo,3.92,nodular,blanda,fija,infiltrativos,rapido,False,False,imagen,True,True,True,sospechoso,inflamatorio,linfoma,intermedio,2.8,no aplica,False,False,False,True,progresiva,reservado,cirugia+quimio,buena,3 meses,1
7.0,French Bulldog,M,entero,23.2,pequeno,chequeo general,obesidad,False,2.9,antiinflamatorios,1,piel,2.62,difusa,firme,fija,infiltrativos,lento,True,False,biopsia,True,True,False,benigno,inflamatorio,mastocitoma,alto,11.1,no aplica,False,False,False,False,regresiva,reservado,cirugia,sin tratamiento,1 mes,0
5.3,Pastor Alemán,M,esterilizado,21.9,pequeno,perdida de apetito,dermatitis,False,3.1,antibioticos,2,tejido subcutaneo,5.72,irregular,dura,fija,infiltrativos,lento,False,False,examen clinico,True,True,True,maligno,benigno,lipoma,bajo,1.2,severo,False,False,False,True,progresiva,desfavorable,cirugia+quimio,buena,12 meses,0
2.3,Golden Retriever,F,entero,4.7,grande,perdida de apetito,cirugia previa,False,10.5,ninguno,1,bazo,3.36,lobulada,blanda,fija,irregulares,lento,False,False,examen clinico,False,False,True,maligno,no realizado,sarcoma,intermedio,1.6,no aplica,False,False,False,False,progresiva,favorable,paliativo,buena,12 meses,0
3.1,Mestizo,M,entero,16.0,grande,sangrado local,dermatitis,False,12.7,antiinflamatorios,3,extremidad,8.28,lobulada,blanda,fija,infiltrativos,rapido,True,False,citologia,False,False,False,no concluyente,,carcinoma,no aplica,13.4,severo,True,False,True,True,regresiva,desfavorable,quimioterapia,buena,3 meses,1
13.7,French Bulldog,F,entero,38.8,mediano,chequeo general,dermatitis,True,3.3,cirugia previa,1,cavidad oral,8.57,irregular,dura,fija,definidos,lento,True,False,imagen,False,True,True,no concluyente,maligno,lipoma,no aplica,14.0,no aplica,False,False,False,False,regresiva,desfavorable,observacion,sin tratamiento,12 meses,1
15.8,Labrador,F,entero,11.0,mediano,chequeo general,cirugia previa,False,4.1,antiinflamatorios,2,cavidad oral,5.63,nodular,dura,fija,definidos,moderado,False,False,examen clinico,True,False,False,sospechoso,no realizado,lipoma,alto,8.1,moderado,False,False,False,False,estable,reservado,quimioterapia,buena,1 mes,1
11.9,Mestizo,M,esterilizado,26.1,pequeno,cojera,cirugia previa,False,9.3,antiinflamatorios,1,mama,1.86,nodular,firme,semi-fija,irregulares,rapido,False,False,citologia,True,True,True,maligno,benigno,lipoma,no aplica,15.4,leve,False,False,True,False,progresiva,reservado,cirugia+quimio,sin tratamiento,1 mes,1
1.7,Golden Retriever,M,esterilizado,4.5,pequeno,sangrado local,endocrinopatia,True,12.9,ninguno,1,tejido subcutaneo,8.95,irregular,dura,semi-fija,infiltrativos,rapido,False,False,citologia,False,False,True,benigno,benigno,carcinoma,alto,6.6,no aplica,False,False,False,True,progresiva,favorable,observacion,parcial,6 meses,0
11.9,Beagle,M,esterilizado,33.4,grande,perdida de apetito,obesidad,False,4.6,antibioticos,1,extremidad,5.19,difusa,firme,movil,infiltrativos,lento,False,False,examen clinico,True,True,False,sospechoso,no realizado,lipoma,bajo,6.0,moderado,True,False,False,False,progresiva,reservado,paliativo,parcial,1 mes,1
13.5,Golden Retriever,F,esterilizado,41.7,mediano,chequeo general,ninguno,False,6.8,cirugia previa,2,cavidad oral,4.32,difusa,dura,movil,infiltrativos,moderado,False,False,examen clinico,True,False,False,maligno,benigno,mastocitoma,,15.1,severo,False,False,False,False,progresiva,favorable,paliativo,sin tratamiento,6 meses,1
4.6,French Bulldog,F,entero,25.1,pequeno,masa palpable,cirugia previa,False,10.9,ninguno,2,extremidad,0.52,difusa,dura,movil,definidos,moderado,False,False,biopsia,False,True,False,sospechoso,maligno,sarcoma,bajo,8.3,leve,True,False,False,False,estable,reservado,cirugia+quimio,sin tratamiento,1 mes,1
14.4,Pastor Alemán,M,entero,15.0,grande,perdida de apetito,obesidad,False,4.0,antiinflamatorios,1,piel,0.43,nodular,blanda,fija,irregulares,rapido,False,True,biopsia,True,True,True,maligno,no realizado,adenoma,intermedio,0.5,leve,True,True,False,True,regresiva,desfavorable,cirugia+quimio,parcial,6 meses,1
14.8,Boxer,F,entero,6.9,grande,chequeo general,ninguno,False,9.6,cirugia previa,2,mama,8.54,irregular,dura,semi-fija,irregulares,moderado,True,False,biopsia,False,False,True,benigno,benigno,lipoma,bajo,6.3,no aplica,False,False,False,False,regresiva,favorable,cirugia+quimio,sin tratamiento,6 meses,0
4.6,Golden Retriever,M,esterilizado,19.1,mediano,cojera,endocrinopatia,False,13.7,antibioticos,2,bazo,2.35,nodular,dura,fija,infiltrativos,moderado,True,False,biopsia,True,False,True,no concluyente,benigno,linfoma,bajo,12.3,no aplica,False,False,True,False,estable,desfavorable,observacion,buena,3 meses,0
14.2,Pastor Alemán,F,esterilizado,33.1,mediano,masa palpable,endocrinopatia,True,13.8,cirugia previa,1,cavidad oral,0.84,nodular,blanda,fija,infiltrativos,moderado,True,False,examen clinico,True,False,True,maligno,no realizado,lipoma,,7.8,moderado,False,False,True,False,progresiva,reservado,cirugia,parcial,3 meses,1
7.6,Golden Retriever,M,entero,30.0,mediano,chequeo general,endocrinopatia,False,8.8,cirugia previa,2,tejido subcutaneo,5.1,difusa,firme,semi-fija,definidos,lento,False,True,imagen,False,True,False,no concluyente,inflamatorio,adenoma,bajo,10.2,severo,True,False,False,True,regresiva,desfavorable,quimioterapia,mala,1 mes,1
11.0,Beagle,F,entero,41.0,grande,masa palpable,obesidad,False,12.7,antibioticos,2,cavidad oral,8.66,lobulada,firme,movil,definidos,rapido,False,False,biopsia,True,True,True,benigno,inflamatorio,sarcoma,bajo,5.2,leve,True,True,False,False,regresiva,reservado,quimioterapia,parcial,1 mes,1
6.5,Golden Retriever,F,entero,23.4,grande,masa palpable,cirugia previa,False,13.5,antiinflamatorios,2,tejido subcutaneo,7.0,irregular,dura,semi-fija,infiltrativos,rapido,True,False,biopsia,True,True,False,benigno,maligno,lipoma,no aplica,8.6,no aplica,False,False,False,False,regresiva,reservado,cirugia+quimio,parcial,3 meses,1
5.7,Mestizo,M,entero,41.5,grande,perdida de apetito,obesidad,False,9.2,antibioticos,1,cavidad oral,2.62,nodular,firme,fija,infiltrativos,moderado,False,False,citologia,False,False,True,maligno,maligno,carcinoma,,12.1,leve,True,True,True,False,estable,desfavorable,quimioterapia,parcial,3 meses,1
4.3,Mestizo,M,entero,6.6,grande,cojera,obesidad,False,12.6,antiinflamatorios,1,bazo,1.9,lobulada,firme,fija,definidos,rapido,False,False,imagen,True,False,False,maligno,maligno,adenoma,alto,14.0,no aplica,False,False,False,False,estable,reservado,observacion,mala,3 meses,1
4.3,Beagle,M,esterilizado,33.0,pequeno,masa palpable,ninguno,True,10.2,cirugia previa,1,tejido subcutaneo,1.6,nodular,blanda,fija,irregulares,moderado,True,False,imagen,True,True,False,no concluyente,no realizado,lipoma,no aplica,15.2,leve,False,True,False,False,progresiva,favorable,paliativo,parcial,6 meses,0
9.0,Pastor Alemán,M,esterilizado,34.9,mediano,cojera,dermatitis,False,13.6,antiinflamatorios,1,bazo,3.69,nodular,dura,fija,irregulares,moderado,True,False,citologia,True,True,False,sospechoso,,lipoma,bajo,14.3,severo,False,False,False,False,estable,favorable,quimioterapia,sin tratamiento,6 meses,0
7.9,Beagle,M,entero,41.8,pequeno,cojera,obesidad,False,6.7,ninguno,1,bazo,5.94,nodular,blanda,fija,definidos,moderado,False,True,citologia,False,True,False,benigno,no realizado,linfoma,intermedio,1.1,moderado,False,False,False,False,progresiva,favorable,paliativo,buena,6 meses,0
2.8,Golden Retriever,F,entero,32.2,grande,cojera,obesidad,True,8.2,antiinflamatorios,1,bazo,5.63,irregular,blanda,semi-fija,definidos,lento,True,False,biopsia,True,False,False,sospechoso,,mastocitoma,alto,9.4,no aplica,True,True,False,False,regresiva,reservado,paliativo,sin tratamiento,6 meses,1
2.4,Pastor Alemán,M,esterilizado,35.4,grande,cojera,cirugia previa,True,1.8,antiinflamatorios,3,tejido subcutaneo,4.63,irregular,dura,movil,definidos,rapido,False,True,biopsia,True,False,False,benigno,benigno,sarcoma,bajo,16.6,moderado,True,True,False,True,estable,desfavorable,cirugia+quimio,parcial,12 meses,1
2.5,Beagle,F,entero,18.8,pequeno,masa palpable,obesidad,False,0.9,cirugia previa,1,mama,8.37,difusa,blanda,semi-fija,irregulares,lento,False,True,biopsia,False,True,True,benigno,inflamatorio,mastocitoma,bajo,15.3,no aplica,False,False,True,False,estable,desfavorable,paliativo,buena,3 meses,1
13.6,Pastor Alemán,M,esterilizado,33.9,pequeno,cojera,cirugia previa,False,3.3,antiinflamatorios,2,piel,3.93,nodular,blanda,semi-fija,infiltrativos,rapido,True,False,imagen,False,False,True,no concluyente,maligno,adenoma,bajo,,no aplica,False,True,False,False,estable,favorable,cirugia+quimio,parcial,3 meses,1
12.6,Boxer,F,entero,36.2,mediano,chequeo general,ninguno,False,1.2,antibioticos,2,piel,2.88,lobulada,dura,fija,infiltrativos,rapido,False,False,examen clinico,True,True,False,maligno,benigno,adenoma,no aplica,6.6,leve,False,True,False,True,regresiva,favorable,cirugia,parcial,3 meses,1
11.5,Boxer,M,esterilizado,17.8,mediano,sangrado local,obesidad,True,1.1,antibioticos,2,tejido subcutaneo,4.66,nodular,firme,fija,infiltrativos,rapido,False,False,imagen,True,False,False,benigno,maligno,lipoma,bajo,1.4,moderado,False,False,True,False,regresiva,favorable,cirugia+quimio,buena,3 meses,1
3.0,Pastor Alemán,F,esterilizado,34.0,pequeno,perdida de apetito,dermatitis,True,12.2,antiinflamatorios,2,bazo,3.22,lobulada,dura,fija,irregulares,moderado,False,False,imagen,True,False,False,maligno,maligno,carcinoma,intermedio,8.7,severo,False,True,False,False,estable,desfavorable,cirugia,parcial,3 meses,1
4.6,Labrador,F,entero,21.5,mediano,cojera,dermatitis,False,0.7,antibioticos,1,mama,3.54,irregular,dura,semi-fija,definidos,lento,False,False,citologia,False,False,True,maligno,inflamatorio,lipoma,,17.5,moderado,False,False,False,False,estable,desfavorable,cirugia+quimio,sin tratamiento,3 meses,0
6.4,Pastor Alemán,M,entero,27.5,pequeno,perdida de apetito,dermatitis,True,7.6,cirugia previa,3,bazo,8.63,difusa,blanda,semi-fija,irregulares,rapido,False,False,biopsia,True,False,True,no concluyente,inflamatorio,adenoma,alto,6.2,severo,False,False,True,False,progresiva,desfavorable,cirugia+quimio,mala,6 meses,1
13.5,Mestizo,M,entero,11.7,mediano,sangrado local,cirugia previa,True,13.4,cirugia previa,1,piel,3.86,lobulada,firme,movil,infiltrativos,moderado,False,False,citologia,True,False,True,no concluyente,benigno,carcinoma,alto,8.9,no aplica,True,False,True,False,regresiva,desfavorable,cirugia+quimio,sin tratamiento,6 meses,1
5.2,Labrador,F,esterilizado,26.8,mediano,chequeo general,ninguno,False,10.3,ninguno,1,mama,5.36,irregular,firme,semi-fija,infiltrativos,lento,False,True,biopsia,True,False,True,maligno,inflamatorio,linfoma,bajo,,moderado,False,False,True,False,progresiva,desfavorable,quimioterapia,parcial,6 meses,1
6.6,French Bulldog,F,esterilizado,41.7,pequeno,masa palpable,dermatitis,True,3.3,antiinflamatorios,2,extremidad,6.3,nodular,firme,semi-fija,definidos,lento,False,False,imagen,True,False,True,no concluyente,inflamatorio,mastocitoma,alto,0.5,leve,True,False,True,False,estable,favorable,cirugia,sin tratamiento,12 meses,0
1.6,Labrador,M,entero,22.7,mediano,masa palpable,ninguno,True,0.3,ninguno,1,extremidad,2.09,irregular,blanda,fija,irregulares,lento,True,False,biopsia,False,True,True,sospechoso,benigno,adenoma,bajo,9.5,moderado,False,True,False,True,regresiva,favorable,cirugia,mala,6 meses,0
15.7,French Bulldog,M,entero,20.1,mediano,masa palpable,obesidad,True,2.1,antibioticos,3,cavidad oral,5.15,nodular,blanda,semi-fija,irregulares,lento,False,False,biopsia,True,False,True,no concluyente,inflamatorio,lipoma,intermedio,15.4,no aplica,False,False,True,False,regresiva,favorable,cirugia+quimio,mala,1 mes,1
14.4,Golden Retriever,M,esterilizado,44.0,mediano,cojera,endocrinopatia,False,5.8,antiinflamatorios,2,bazo,4.64,lobulada,dura,semi-fija,irregulares,moderado,False,False,imagen,True,True,True,benigno,inflamatorio,lipoma,no aplica,4.2,moderado,True,False,False,False,estable,favorable,cirugia+quimio,parcial,3 meses,0
8.4,French Bulldog,M,esterilizado,30.8,mediano,sangrado local,cirugia previa,False,11.4,ninguno,1,tejido subcutaneo,7.96,nodular,firme,semi-fija,irregulares,moderado,False,True,citologia,True,False,True,sospechoso,no realizado,lipoma,,5.6,no aplica,False,True,False,False,regresiva,desfavorable,paliativo,mala,12 meses,1
6.7,Beagle,F,esterilizado,16.5,pequeno,sangrado local,ninguno,True,5.3,ninguno,3,cavidad oral,3.61,difusa,firme,semi-fija,irregulares,moderado,True,False,citologia,True,False,False,benigno,inflamatorio,adenoma,alto,3.1,severo,True,False,False,False,progresiva,reservado,observacion,mala,1 mes,0
2.5,Beagle,M,esterilizado,23.9,grande,perdida de apetito,dermatitis,False,5.2,cirugia previa,1,tejido subcutaneo,5.83,nodular,dura,movil,irregulares,moderado,True,False,imagen,False,False,False,benigno,inflamatorio,carcinoma,bajo,10.2,no aplica,False,False,True,False,regresiva,reservado,cirugia+quimio,parcial,3 meses,0
14.2,Beagle,M,esterilizado,11.9,grande,chequeo general,cirugia previa,False,7.6,cirugia previa,2,bazo,5.75,irregular,firme,semi-fija,definidos,lento,True,False,biopsia,False,True,False,benigno,maligno,lipoma,alto,14.8,moderado,True,False,False,True,estable,favorable,cirugia,parcial,12 meses,1
5.1,Labrador,F,esterilizado,30.7,pequeno,masa palpable,obesidad,False,1.0,ninguno,1,extremidad,2.89,nodular,firme,semi-fija,infiltrativos,rapido,False,False,citologia,True,False,False,benigno,inflamatorio,lipoma,bajo,4.3,leve,False,False,False,False,regresiva,desfavorable,cirugia,mala,3 meses,0
9.8,French Bulldog,F,entero,16.3,mediano,chequeo general,dermatitis,False,12.3,antiinflamatorios,1,tejido subcutaneo,6.53,lobulada,blanda,fija,infiltrativos,lento,False,False,examen clinico,True,False,True,no concluyente,inflamatorio,sarcoma,alto,16.3,leve,False,False,False,True,progresiva,reservado,quimioterapia,sin tratamiento,3 meses,1
13.2,Beagle,F,entero,14.5,pequeno,chequeo general,obesidad,False,13.0,antibioticos,3,tejido subcutaneo,7.93,nodular,blanda,fija,irregulares,rapido,True,False,biopsia,True,True,True,sospechoso,no realizado,sarcoma,intermedio,0.1,moderado,False,False,True,True,regresiva,desfavorable,cirugia,mala,6 meses,1
5.9,Pastor Alemán,M,entero,20.4,pequeno,chequeo general,obesidad,False,12.4,antiinflamatorios,1,piel,8.33,irregular,blanda,semi-fija,definidos,moderado,False,True,imagen,True,False,True,maligno,maligno,linfoma,bajo,0.3,no aplica,False,False,False,False,estable,desfavorable,cirugia,buena,6 meses,1
15.9,Pastor Alemán,M,esterilizado,10.6,pequeno,masa palpable,cirugia previa,False,3.4,cirugia previa,1,cavidad oral,5.37,difusa,blanda,movil,irregulares,lento,False,False,imagen,True,False,False,maligno,benigno,adenoma,bajo,0.9,moderado,False,False,False,False,regresiva,desfavorable,observacion,sin tratamiento,6 meses,1
14.4,Labrador,M,esterilizado,10.1,mediano,perdida de apetito,obesidad,True,4.6,cirugia previa,1,cavidad oral,1.32,nodular,blanda,semi-fija,irregulares,rapido,False,False,biopsia,True,False,True,maligno,,mastocitoma,alto,13.3,no aplica,False,True,False,False,progresiva,favorable,cirugia,buena,1 mes,1
15.9,French Bulldog,M,esterilizado,18.0,grande,sangrado local,obesidad,False,1.8,antiinflamatorios,1,cavidad oral,1.11,lobulada,blanda,movil,infiltrativos,rapido,False,False,citologia,True,False,False,sospechoso,no realizado,adenoma,intermedio,13.8,leve,False,True,False,False,progresiva,reservado,paliativo,sin tratamiento,6 meses,1
15.3,Mestizo,M,esterilizado,43.7,grande,sangrado local,obesidad,True,10.3,antiinflamatorios,1,piel,7.27,lobulada,firme,movil,infiltrativos,lento,False,False,examen clinico,True,True,False,no concluyente,benigno,adenoma,intermedio,2.9,no aplica,False,False,False,True,progresiva,reservado,quimioterapia,buena,6 meses,0
8.1,Mestizo,F,entero,34.8,mediano,sangrado local,dermatitis,False,6.1,ninguno,2,cavidad oral,8.77,irregular,dura,fija,infiltrativos,lento,False,False,examen clinico,True,True,False,no concluyente,inflamatorio,mastocitoma,intermedio,12.3,severo,False,False,False,True,estable,favorable,paliativo,sin tratamiento,12 meses,1
9.8,Boxer,M,entero,34.1,mediano,cojera,dermatitis,False,0.8,cirugia previa,3,cavidad oral,3.03,difusa,dura,semi-fija,infiltrativos,moderado,False,False,citologia,True,True,False,maligno,benigno,lipoma,bajo,0.1,leve,True,False,False,False,regresiva,desfavorable,paliativo,mala,6 meses,1
6.9,Pastor Alemán,M,entero,8.7,pequeno,masa palpable,ninguno,False,2.8,ninguno,1,tejido subcutaneo,5.94,irregular,firme,fija,infiltrativos,lento,True,False,citologia,True,True,True,sospechoso,no realizado,lipoma,no aplica,0.4,no aplica,False,False,False,False,estable,reservado,observacion,sin tratamiento,12 meses,0
5.4,French Bulldog,F,esterilizado,24.6,grande,sangrado local,obesidad,True,1.0,ninguno,2,extremidad,3.05,nodular,firme,fija,irregulares,moderado,True,False,biopsia,True,True,True,sospechoso,no realizado,carcinoma,no aplica,4.2,moderado,False,False,False,False,regresiva,desfavorable,cirugia+quimio,buena,6 meses,0
